timestamp,original_question,relevant_info
2025-11-09T02:03:13.767680,Małgorzata Rożniecka is a model who won the title of Miss International. What is the difference in title years from when she won and the pageant winner who was murdered by her stalker?,[]
2025-11-09T02:03:40.130563,"According to the 1990 United States census, what was the total population of the cities in Oklahoma that had at least 100,000 residents according to the 2020 United States census?",[]
2025-11-09T02:03:59.579238,"What was the political party of the person who advocated for the type of government used in Chikhali, Latur district to become the foundation of India's political system?","[""Mahatma Gandhi advocated for panchayat raj as the foundation of India's political system. He was associated with the Indian National Congress political party from 1920 to 1934.""]"
2025-11-09T02:04:13.037486,"Giorgio Rognoni was an Italian professional footballer who played as a midfielder. 10 years after his death who was the midfielder who played in Milan that was born in Besana in Brianza,?","[""Demetrio Albertini was a midfielder who played for AC Milan and was born in Besana in Brianza.""]"
2025-11-09T02:04:56.733965,What was the age difference between Mike Tyson and Tyson Fury on the respective days on which they lost their first ever fights? Represent the figure in years only.,"[""Mike Tyson lost his first professional fight on February 11, 1990, against Buster Douglas at the age of 23. Tyson Fury lost his first professional fight on September 28, 2019, against Oleksandr Usyk at the age of 34. The age difference between them on the respective days they lost their first fights is 11 years."", ""Mike Tyson lost his first fight on February 11, 1990, to Buster Douglas at the age of 23. Tyson Fury lost his first fight on November 28, 2015, to Wladimir Klitschko at the age of 27. The age difference between them on those respective dates was 4 years."", ""Mike Tyson lost his first fight to Buster Douglas on February 11, 1990, when he was 23 years and about 7 months old. Tyson Fury lost his first fight to New Zealand's Joseph Parker on December 15, 2018, when he was 30 years and about 5 months old. The age difference between them on those respective dates was about 7 years.""]"
2025-11-09T02:05:17.376636,"Using the Pruett rule, out of all of the blue moons that occurred between the beginning of World War I and the end of World War II, how many of them occurred on the 31st of the month?",[]
2025-11-09T02:05:36.420920,What number would Tommy Lawton have worn playing for Chelsea FC?,[]
2025-11-09T02:05:53.130268,"If you subtract the year that William McCrary ""Billy"" Ray II was born from the year Obama was first sworn in as President to the United States and multiply it by the number of administrative regions in France as of January 1, 2024, what number would you get?","[""William McCrary \""Billy\"" Ray II was born on May 3, 1963. Barack Obama was sworn in as President of the United States on January 20, 2009. The subtraction gives: 2009 - 1963 = 46. As of January 1, 2024, France had 18 administrative regions. Multiplying these numbers: 46 * 18 = 828.""]"
2025-11-09T02:06:07.895269,"If Princess Diana had been born three years earlier, who would have been Prime Minister when she was ten?",[]
2025-11-09T02:06:21.445399,"As of August 1, 2024, what is the population of the writer of the ""Culdcept Saga""'s birthplace? Write the answer to the nearest million, in characters.","[""Tow Ubukata, the writer of \""Culdcept Saga,\"" was born in Gifu Prefecture, Japan, which has a population of approximately 2,040,000 as of April 1, 2025.""]"
2025-11-09T02:06:38.814737,What is the middle name of the U.S. president who died on the same day of the year as Virginia Woolf?,"[""Dwight David \""Ike\"" Eisenhower (born David Dwight Eisenhower; October 14, 1890 \u2013 March 28, 1969) was the 34th president of the United States, serving from 1953 to 1961. Virginia Woolf also died on March 28.""]"
2025-11-09T02:06:57.835603,"As of 2010, if you added the number of times Brazil had won the World Cup to the amount of times the Chicago Bulls had won the NBA Championship and multiplied this number by the amount of times the Dallas Cowboys had won the Super Bowl, what number are you left with?","[""Brazil has won the FIFA World Cup 5 times. As of 2010, the Chicago Bulls have won the NBA Championship 6 times, and the Dallas Cowboys have won the Super Bowl 5 times. If you add 5 (World Cups) + 6 (NBA Championships) = 11, and then multiply by 5 (Super Bowl victories), you would get 11 * 5 = 55."", ""The Chicago Bulls have won NBA championships 6 times (1991, 1992, 1993, 1996, 1997, 1998). Brazil has won the FIFA World Cup 5 times (as of 2010). The Dallas Cowboys have won the Super Bowl 5 times. Therefore, the calculation would be (5 + 6) * 5 = 11 * 5 = 55.""]"
2025-11-09T02:07:14.700217,How old would the founder of the publishing company of the magazine that serialized the manga series Raw Hero have been the year the magazine ended publication?,"[""Seiji Noma, the founder of Kodansha, was born in 1878 and died on October 18, 1938. The magazine Evening, which serialized the manga series Raw Hero, ended publication in 2023. Therefore, Seiji Noma would have been 145 years old in 2023 if he had been alive at that time.""]"
2025-11-09T02:07:34.710691,The oldest extant football team in Italy plays in a stadium.   The stadium is named after a person.   Who was the emperor of China when that person was 5 years old?,"[""The oldest existing football team in Italy is Genoa Cricket and Football Club, which plays in the Stadio Luigi Ferraris. The stadium is named after Luigi Ferraris, who died during WWI. The Chinese emperor during this period was the final emperor of the Qing Dynasty, Puyi, who was born in 1906, so he would have been 5 years old around 1911, the year the stadium opened.""]"
2025-11-09T02:08:11.142410,"Of the four main characters on Seinfeld, which actor is the oldest?","[""Michael Richards, born on July 24, 1949, is the oldest of the four main characters on Seinfeld."", ""Jason Alexander was born on September 23, 1959, Jerry Seinfeld was born on April 29, 1954, Julia Louis-Dreyfus was born on January 13, 1961, and Michael Richards was born on July 24, 1949. Therefore, Jerry Seinfeld is the oldest of the four main characters on Seinfeld.""]"
2025-11-09T02:08:27.101763,"How old was Harvard University, when the person whom the longest river in British Columbia is named after, was born?  The river in question only flows within the confines of British Columbia and does not enter any other province or territory.","[""Harvard University was established on October 28, 1636, making it 388 years old in 2024. The longest river in British Columbia is the Fraser River, which is named after Simon Fraser, who was born in 1776. Therefore, when Simon Fraser was born, Harvard University was 140 years old.""]"
2025-11-09T02:08:42.852711,"On the same day that the The Mercedes-Benz W222 arrived at dealerships, a star of the sit-com Modern Family was wed. Who did the star marry?",[]
2025-11-09T02:08:57.217259,Which species from the genus mulona are both found in the same country?,[]
2025-11-09T02:09:20.595496,"As of July 1, 2024, if I wanted to give my daughter the middle name of the American woman who is the most decorated female in the history of American gymnastics as her first name and the full first name of the American woman who holds the world record in the 800-meter freestyle as her middle name, what would I name my daughter?","[""Simone Biles is the most decorated female in the history of American gymnastics. The full first name of the American woman who holds the world record in the 800-meter freestyle is Katie Ledecky."", ""The most decorated female in the history of American gymnastics is Simone Biles. The American woman who holds the world record in the 800-meter freestyle is Katie Ledecky. Therefore, the daughter would be named Simone Katie.""]"
2025-11-09T02:09:37.030035,I am thinking of a Ancient Roman City.  The city was destroyed by volcanic eruption.  The eruption occurred in the year 79 AD.  The volcano was a stratovolcano.    Where was the session held where it was decided that the city would be named a UNESCO world heritage site?,[]
2025-11-09T02:09:51.807685,What Formula One car was driven in 1994 by the nephew of a racing driver from Italy who drove a Ferrari 312T and shares a last name with a common cocktail drink?,"[""The Formula One car driven in 1994 by Pierluigi Martini, who is the nephew of racing driver Giancarlo Martini (who drove a Ferrari 312T), was the Minardi M194.""]"
2025-11-09T02:10:08.097502,"As of August 1, 2024, who is the president of the team that inspired the original name of the Washington Commanders?",[]
2025-11-09T02:10:28.387562,"As of 2023, how many more employees does the company alphabetically first by ticker symbol in the S&P500 have than the company alphabetically 2nd to last by ticker symbol in the S&P500?","[""As of 2024, Agilent Technologies (A ticker symbol: A, employees: 17,900) and Zebra Technologies (Z ticker symbol: ZBRA, employees: 9,900) are the companies in question. Agilent has 17,900 employees, which is 8,000 more than Zebra, which has 9,900 employees.""]"
2025-11-09T02:10:44.575912,"I am moving to the G40 postcode area - what train stations are nearby, as of 2024?","[""Dalmarnock railway station, on the Argyle Line, serves the local area. The station was upgraded for the 2014 Commonwealth Games.""]"
2025-11-09T02:11:01.410881,How old was Stephen Baldwin when Hailey and Justin got married?,"[""Hailey Bieber and Justin Bieber got married in November 2018. Stephen Baldwin was born on May 12, 1966. Therefore, he was 52 years old when they got married.""]"
2025-11-09T02:11:13.780072,"As of August 1, 2024, what is the largest city of the 9th largest country by land area in Europe?","[""Poland is recognized as the 9th largest country by land area in Europe, and as of August 1, 2024, the largest city in Poland is Warsaw."", ""Poland, which is the 9th largest country in Europe by land area, has its largest city as Warsaw, with a population of approximately 1.8 million inhabitants.""]"
2025-11-09T02:11:33.291052,What was the running time of the first cartoon in the series that inspired the name of the Looney Tunes franchise?,"[""The first cartoon in the Silly Symphony series, \""The Skeleton Dance,\"" has a running time of 5:31."", ""The first Looney Tunes short, Sinkin' in the Bathtub (1930), had a running time of 6\u201310 minutes (one reel).""]"
2025-11-09T02:11:49.077489,"The state, whose motto was adopted March 26, 1928, has 0.94% of the population in 2024 speaking a language that is native to which country?","[""New Jersey has a motto that was adopted on March 26, 1928, \""Liberty and prosperity.\"" The text mentions that 0.94% of the population in New Jersey speak Portuguese, with Portuguese being native to Portugal.""]"
2025-11-09T02:12:03.537737,"As of 2024, at the time of his birth, what was the middle name of the U.S. president who won Alaska, graduated from Yale University, and had a son named Michael?","[""Gerald Rudolph Ford Jr. (born Leslie Lynch King Jr.; July 14, 1913) was the 38th president of the United States, serving from 1974 to 1977. He graduated from Yale University and had a son named Michael.""]"
2025-11-09T02:12:16.717772,"The first white man to visit the indigenous people who were forced on a reserve during the Klondike Gold Rush, worked for a company who officially stopped selling what in 2023?","[""The first white man known to have entered Han territory was Robert Campbell from the Hudson's Bay Company in 1851. Additionally, the Hudson's Bay Company officially stopped selling animal fur products in 2023.""]"
2025-11-09T02:12:37.180620,"What state is the home of the losing team of the World Series three years before ""Old Shufflefoot"" managed his team to victory?","[""Lou Boudreau, nicknamed \""Old Shufflefoot,\"" managed the Cleveland Indians to victory in the 1948 World Series. The losing team in that series was the Boston Braves. In 1945, three years prior, the losing team in the World Series was the Detroit Tigers, which are based in Michigan.""]"
2025-11-09T02:12:51.162329,Was the person who served as president of the Scottish National Party from 1987 to 2005 alive when the party was founded?,"[""Winnie Ewing served as president of the Scottish National Party from 1987 to 2005 and was born on 10 July 1929. The Scottish National Party was founded on 7 April 1934, which means she was alive at the time of the party's founding.""]"
2025-11-09T02:13:05.293590,"In series six of Downton Abbey, Lord Merton is diagnosed with a terminal condition. A deficiency in which vitamin causes this condition?",[]
2025-11-09T02:13:22.318048,How many letters long is the title of the first movie composed by the composer of the first American Godzilla movie?,"[""David Arnold (born 23 January 1962) is an English film composer whose credits include scoring five James Bond films (1997\u20132008), as well as Stargate (1994), Independence Day (1996), Godzilla (1998), Shaft (2000), 2 Fast 2 Furious (2003)... His first film score was for The Young Americans, which he composed in 1993. The title of The Young Americans is 16 letters long.""]"
2025-11-09T02:13:34.200649,"The author of the book ""A Good Woman""'s author was married to a man in 2008, who resigned from the board of HP due to the actions taken by the board's chair. What types of cancer did the chair survive?",[]
2025-11-09T02:13:48.711229,"Benjamin Waterhouse Hawkins was commissioned to sculpt a series of life-size dinosaurs between 1852-54.  In this location, one species only had its head and back built with the rest of its body submerged underwater because they didn't know what it looked like then.  Where is this display located in 2024, which dinosaur species was this, and what did the rest of its body look like after all?","[""The display is located in Crystal Palace Park, and the dinosaur species is Mosasaurus. The rest of its body was submerged underwater, leaving it unseen and undefined, as only the head and back were built.""]"
2025-11-09T02:14:01.708832,The Assistant to the Regional Manager on The Office TV show (US version) has a farm. You can obtain what food colorant from the crop he grows?,"[""Dwight Schrute, the Assistant to the Regional Manager on The Office, owns a beet plantation and can obtain betanin, a red food colorant, from the beetroots he grows.""]"
2025-11-09T02:14:17.263362,How many Pokemon World Championships occurred in the contiguous United States during the presidency of Barack Obama?,"[""During the presidency of Barack Obama (2009-2017), there were six Pok\u00e9mon World Championships held in the contiguous United States: 2008 (Orlando, Florida), 2009 (San Diego, California), 2010 (WaiKoloa Village, Hawaii), 2011 (San Diego, California), 2012 (WaiKoloa Village, Hawaii), and 2014 (Washington, D.C.), which are all located on the mainland. The 2016 event was also held in San Francisco, California.""]"
2025-11-09T02:14:39.247175,"Put these historical events in chronological order, starting with the earliest: The Beatles play Ed Sullivan, the fall of the Berlin Wall, The Great Depression, Atlanta Summer Games, World War I.","[""The Great Depression began in 1929; World War I occurred from 1914 to 1918; The Beatles played Ed Sullivan in 1964; the fall of the Berlin Wall happened on 9 November 1989; and the Atlanta Summer Games took place from July 19 to August 4, 1996.""]"
2025-11-09T02:14:57.834584,This individual won a Best Director Award at the 33rd Japan Academy Prize ceremony and is known for having directed a film that briefly surpassed the Godfather as the highest-grossing film in Japan for a short time. Which film was longer - The Godfather or his film - and by how many minutes?,"[""Daisaku Kimura won the award for best director at the 33rd Japan Academy Prize for \""Mt. Tsurugidake.\"" The film grossed \u00a54,468,680,000 ($14 million) in Japan and was the highest-grossing film in Japan in 1973 and 1974, briefly surpassing \""The Godfather.\"" \""The Godfather\"" has a runtime of 175 minutes, while \""Mt. Tsurugidake\"" has a runtime of 143 minutes. Thus, \""The Godfather\"" is longer by 32 minutes.""]"
2025-11-09T02:15:15.656244,The manga 'Sailor Moon' was authored by a woman. What manga did her husband win the Shogakukan Manga Award for authoring?,"[""Yoshihiro Togashi, Naoko Takeuchi's husband, won the Shogakukan Manga Award in 1993 for his work on \""YuYu Hakusho.\""""]"
2025-11-09T02:15:35.318013,Where did the daughter of the winner of the first US presidential election to occur after the official end of WWII  attend university?,"[""Margaret Truman, the daughter of Harry S. Truman, the 33rd president of the United States, attended college at Christian College in Columbia, Missouri."", ""Margaret Truman attended George Washington University, where she earned a Bachelor of Arts degree in history and international relations in 1946.""]"
2025-11-09T02:15:49.156867,"In the style of wrestling performed by former Greek wrestler Mikhail Theodoropoulos, who won the inaugural olympic medal?","[""Mikhail Theodoropoulos is a Greek wrestler who competed in the men's Greco-Roman bantamweight at the 1960 Summer Olympics. Greco-Roman wrestling was included in the first modern Olympic Games in 1896.""]"
2025-11-09T02:15:59.954672,What is the difference in elevation between the respective peaks of Eggstock (Uri Alps) and Eggstock (Schwyzer Alps) in Switzerland? Convert the final figure to centimetres and round up to the nearest 1000.,[]
2025-11-09T02:16:18.255965,"How many films had the actress who played Trudi Frazer in ""Once Upon a Time in Hollywood"" acted in before?","[""Julia Butters, who played Trudi Fraser in \""Once Upon a Time in Hollywood,\"" began her career at the age of five and had acted in several films prior to that role, including \""13 Hours: The Secret Soldiers of Benghazi\"" (2016), \""Term Life,\"" and \""A Family Man.\"" She also starred in the film \""Once Upon a Time in Hollywood\"" (2019) and had significant roles in other productions.""]"
2025-11-09T02:16:44.968281,The founder of the production company at which Tim Allsop and Stewart Williams met received a bachelor's degree from a college in the state of New York. In what year was this college's sibling institution founded?,"[""Elisabeth Murdoch is the founder of Shine Limited, the production company where Tim Allsop and Stewart Williams met. Vassar College, a private liberal arts college in New York, was founded in 1861.""]"
2025-11-09T02:16:59.371100,Which player scored more than 15 goals in Eredevisie during the 21-22 season and had previously played for Auxerre?,"[""S\u00e9bastien Haller scored 21 goals in the Eredivisie during the 2021-22 season and had previously played for Auxerre.""]"
2025-11-09T02:17:12.872139,"The latest game, as of August 4, 2024, from the creator of Kirby won an award at The Game Awards. What won Game of the Year the following year?","[""The latest game from the creator of Kirby, Masahiro Sakurai, is \""Kirby Air Riders\"", which was released in 2025. \""The Game Awards 2020\"" awarded \""The Last of Us Part II\"" the title of Game of the Year.""]"
2025-11-09T02:17:28.687867,By how many years does the inception of the party to which former Finnish MP Lea Rakel Hiltunen last belonged predate the foundation of the Parliament of Finland itself?,"[""Lea Rakel Hiltunen was a member of the Social Democratic Party of Finland (SDP), which was founded on 20 July 1899. The Parliament of Finland was founded on 9 May 1906. The inception of the SDP predates the foundation of the Parliament by approximately 6 years and 10 months.""]"
2025-11-09T02:17:45.533273,"According to the population data in their respective Wikipedia articles in August 2024, what is the difference between the population of Seattle, WA, and Portland, OR, according to the data from 2020?","[""Seattle's population was 737,015 in 2020, and the estimate for 2024 is 780,995. The provided text does not include Portland's population data for 2020, so the difference in population cannot be calculated.""]"
2025-11-09T02:18:00.246301,"What was the Enhanced Fujita Scale rating of the 2011 tornado that hit the hometown of the band who had a controversial interview with Bryan Odell on June 3, 2012?","[""The Enhanced Fujita Scale rating of the 2011 tornado that hit Joplin, Missouri (the hometown of the band Never Shout Never, who had a controversial interview with Bryan Odell on June 3, 2012) was EF5.""]"
2025-11-09T02:18:23.866347,Which MP standing as the leader of a major party in the 2019 United Kingdom General Election was also an MP for Henley?,"[""Boris Johnson was the MP for Henley from 2001 to 2008 and served as Prime Minister of the United Kingdom and Leader of the Conservative Party from 2019 to 2022. He was a prominent figure in the 2019 United Kingdom General Election.""]"
2025-11-09T02:18:37.552239,Who was the author of the novel whose film adaptation lead singer Mark Arm took the name of his band from?,"[""Mark Arm took the name of his band Mudhoney from the Russ Meyer film.""]"
2025-11-09T02:18:53.610533,"As of August 3, 2024, how much taller was the tsunami wave of the most powerful earthquake in North America than the most powerful earthquake ever recorded in Japan?","[""The 1964 Alaska earthquake was the most powerful earthquake ever recorded in North America, with a tsunami wave height of about 220 feet (67 meters). The 2011 T\u014dhoku earthquake was the most powerful earthquake ever recorded in Japan, with a magnitude of 9.0\u20139.1 and produced a tsunami but the specific wave height is not provided in the text. Therefore, I cannot calculate the difference in height between the two tsunami waves.""]"
2025-11-09T02:19:07.671283,"How old would the 1975 winner of the Lenore Marshall Poetry Prize have been if they were still alive on the date when Rupi Kaur released her book titled, ""Milk and Honey""?","[""Cid Corman was the 1975 winner of the Lenore Marshall Poetry Prize. He was born on June 29, 1924, and if he were still alive on the date Rupi Kaur released her book \""Milk and Honey,\"" which was published on November 4, 2014, he would have been 90 years old.""]"
2025-11-09T02:19:19.830569,A united states island that is only 90 miles away from Cuba has been the home of several famous people. In what year did the famous author who owns a book store there first start writing?,"[""Judy Blume began writing in 1959 and has published more than 26 novels. In 2018, she and her husband opened a non-profit book store called Books & Books located in Key West.""]"
2025-11-09T02:19:42.238657,"According to the 2011 census, what is total population of the cities of the birthplaces of author Clive Barker, Prince William, and Sir Malcolm Stanley Bradbury? Round to the nearest 100,000.","[""According to the 2011 census, the population of Sheffield, the birthplace of Sir Malcolm Stanley Bradbury, is 685,368. The population of London, the birthplace of Prince William, is 9,787,426. Clive Barker was born in Liverpool, which has a population of 864,122 according to the same census. The total population for these three cities is 685,368 + 9,787,426 + 864,122 = 11,336,916, which rounds to 11,300,000 when rounded to the nearest 100,000.""]"
2025-11-09T02:20:04.847363,"Of the two wonders of the ancient world that were statues, how much shorter was the taller of the two compared to the tallest statue in Japan as of 2024?","[""The Statue of Zeus at Olympia was about 12.4 m (41 ft) tall, and the tallest statue in Japan as of 2024 is the \""Great Bhuddha of Nara,\"" which stands 100 m (328 ft) tall. Therefore, the Statue of Zeus is shorter by 87.6 m (287 ft).""]"
2025-11-09T02:20:34.868967,"The actor known for playing Kenny ""Shammy"" Shamberg in Magnum P.I. was born how days before the Apollo 11 moon landing?","[""Christopher Thornton, known for his role as Kenny \""Shammy\"" Shamberg in Magnum P.I., was born on March 29, 1967. The Apollo 11 moon landing occurred on July 20, 1969, which means he was born 815 days before the landing.""]"
2025-11-09T02:20:47.310991,"As of January 1, 2024, what was the warmest decade, since the 17th century, around the ocean that surrounds Litke Deep?",[]
2025-11-09T02:20:59.121803,"Which of the bridges in Halifax, Nova Scotia is longer, and by how much? The MacKay, or the MacDonald?","[""The Angus L. Macdonald Bridge has a total length of 1.3 kilometres (0.81 mi), while the A. Murray MacKay Bridge has a total length of 1,200 metres (3,937 ft), which is 1.2 kilometres. Therefore, the Angus L. Macdonald Bridge is longer by 100 metres.""]"
2025-11-09T02:21:22.831532,Which section of IPSC Australia Inc. is larger than Honshu and smaller than Sumatra by area?,[]
2025-11-09T02:21:38.272825,"As of August 1, 2024, are there any cities in England that are more populated than Philadelphia, and which cities are they?","[""This list of built-up areas for England was compiled by the Office for National Statistics after the 2021 UK Census. The ONS has classified all built-up areas with a population of at least 200,000 as \""major\"". The largest built-up area in England is London, with a population of 8,776,535. Other major cities include Birmingham (1,121,375), Leeds (536,280), Liverpool (506,565), Sheffield (500,535), and Manchester (470,405). Philadelphia's population is approximately 1,585,010, which means none of these cities exceed Philadelphia's population as of August 1, 2024.""]"
